"","searchKeyword","keywordNResults","searchUniques","transactions","transactionRevenue","searchExits","searchDepth","searchRefinements","searchResultViews"
"1","- aandachtig leven met hooggevoeligheid","5.095",1,0,0,0,2,1,1
"2","- sterk voelen op het werk","3.21",1,0,0,1,0,0,1
"3","-de doodsformule","40",1,0,0,0,0,1,1
"4","!game !thrones""/>","1.775",1,0,0,0,0,1,1
"5","!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>","1.775",1,0,0,0,1,1,1
"6","... and where to find them","2.239",1,0,0,0,7,1,2
"7",".luikjesbijbel","0",1,0,0,1,0,0,1
"8",".mark knopfler","7.603",1,0,0,1,0,0,3
"9","'de kleine bos atlas'","4.91",0,0,0,0,0,1,1
"10","'de kleine bos atlas'","5.832",1,0,0,0,0,0,5
"11","'druiden","70",1,0,0,0,0,1,1
"12","'ijzeren eeuw","48",1,0,0,0,4,1,2
"13","'kinderboeken","56.523",1,0,0,0,1,0,11
"14","'kleine bos atlas'","5.832",1,0,0,0,0,1,4
"15","'sandra walklate'","1.091",1,0,0,0,0,1,1
"16","‘anna jansson’","2.518",1,0,0,0,6,0,1
"17","‘marie wallin’","2.228",0,0,0,0,0,1,2
"18","‘marie wallin’","2.714",1,0,0,0,0,1,3
"19","‘marie wallin’ shetland","2.735",1,0,0,0,1,2,2
"20",""" valerie lagrange""","343",1,0,0,0,0,1,1
"21","""400 droomritten""","129",1,0,0,0,0,1,1
"22","""antwerpen verloren stad""","2.033",1,0,0,0,0,2,4
"23","""antwerpen, verdwenen stad""","1.792",1,0,0,0,0,2,2
"24","""barnaby rudge""","33",0,1,32.49,0,10,0,2
"25","""barnaby rudge""","40",1,0,0,0,0,0,1
"26","""barnaby rudge"" dickens","414",1,0,0,0,0,1,1
"27","""bergen op zoom""","412",1,0,0,0,0,1,11
"28","""best of 2002""","3.296",0,0,0,0,0,1,6
"29","""best of 2002""","6.677",1,0,0,0,0,0,1
"30","""buiten eten""","1.029",1,0,0,0,0,1,3
"31","""dagboek van een muts""","688",0,0,0,0,0,0,1
"32","""dagboek van een muts""","692",0,0,0,0,0,0,1
"33","""dagboek van een muts""","703",1,0,0,0,25,1,4
"34","""dorine keijzer-rijnhart""","81",1,0,0,1,0,0,1
"35","""doug the pug""","2.035",1,0,0,0,32,0,2
"36","""dutch oven""","799",1,0,0,0,0,1,3
"37","""frode granhus""","26",1,0,0,0,0,1,2
"38","""game or thrones""","2.997",1,0,0,0,0,1,1
"39","""game thrones""","1.775",1,0,0,0,0,1,1
"40","""geschiedenis van bergen op zoom""","87.378",1,0,0,1,0,0,1
"41","""granhus""","0",1,0,0,0,1,0,1
"42","""het grote voorleesboek voor rond de 5 jaar""","243",1,1,19.99,0,6,0,1
"43","""hits uit het jaar 2002""","161",1,0,0,0,0,0,1
"44","""hits uit het jaar 2002""","78",0,0,0,0,0,1,8
"45","""hitzone 2017""","4.563",1,1,18.99,0,5,0,3
