"","searchKeyword","searchKeywordRefinement","searchUniques"
"1","- aandachtig leven met hooggevoeligheid","- sterk voelen op het werk",1
"2","-de doodsformule","moord: een inleiding",1
"3","!game !thrones""/>","!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>",1
"4","!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>!game !thrones""/>","p-s4",1
"5","... and where to find them","sri lanka",1
"6","'de kleine bos atlas'","atlas",1
"7","'druiden","mythologie",1
"8","'ijzeren eeuw","ge ijzeren eeuw",1
"9","'kleine bos atlas'","'de kleine bos atlas'",1
"10","'sandra walklate'","sandra walklate",1
"11","‘marie wallin’","‘marie wallin’ shetland",1
"12","‘marie wallin’","marie wallin",0
"13","‘marie wallin’ shetland","‘marie wallin’",0
"14","‘marie wallin’ shetland","shetland van marie wallin",1
"15",""" valerie lagrange""","marie laforet",1
"16","""400 droomritten""","droomritten",1
"17","""antwerpen verloren stad""","""antwerpen, verdwenen stad""",0
"18","""antwerpen verloren stad""","antwerpen",1
"19","""antwerpen, verdwenen stad""","""antwerpen verloren stad""",1
"20","""antwerpen, verdwenen stad""","antwerpen , verdwenen stad",0
"21","""barnaby rudge"" dickens","""barnaby rudge""",1
"22","""bergen op zoom""","geschiedenis van bergen op zoom",1
"23","""best of 2002""","""hits uit het jaar 2002""",1
"24","""buiten eten""","het vuur de baas",1
"25","""dagboek van een muts""","sinterklaas",1
"26","""dutch oven""","""buiten eten""",1
"27","""frode granhus""","""granhus""",1
"28","""game or thrones""","""game thrones""",1
"29","""game thrones""","game !thrones",1
"30","""hits uit het jaar 2002""","""hitzone 2017""",1
"31","""kleine bos atlas""","'kleine bos atlas'",1
"32","""kleine bos""","""kleine"" en ""bos"" en ""atlas""",1
"33","""kleine bos"" atlas","""kleine bos""",1
"34","""kleine"" en ""bos"" en ""atlas""","""kleine bos atlas""",1
"35","""tachtigjarige oorlog""","bergen op zoom",1
